,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
0,Berlin,2500.0,145.0,5.0,Berlin,1400.0,,2.0
1,Berlin,690.0,68.0,2.0,Berlin,1320.0,,3.0
2,Berlin,1165.0,136.0,4.0,Berlin,800.0,,
3,Berlin,840.0,100.0,3.0,Berlin,500.0,,2.0
4,Berlin,978.0,85.0,3.0,Berlin,1500.0,,
5,Berlin,1267.0,75.0,3.0,Berlin,900.0,,
6,Berlin,1310.0,72.0,2.0,Berlin,1000.0,,
7,Berlin,1800.0,101.0,,Berlin,3700.0,,
8,Berlin,819.0,106.0,3.0,Berlin,800.0,,2.0
9,Berlin,2300.0,95.0,3.0,Berlin,3000.0,,4.0
10,Berlin,524.0,50.0,2.0,Berlin,1200.0,,
11,Berlin,1000.0,86.0,3.0,Berlin,1200.0,,3.0
12,Berlin,735.0,46.0,,Berlin,5000.0,,3.0
13,Berlin,522.0,79.0,2.0,Berlin,700.0,,
14,Berlin,754.0,79.0,3.0,Berlin,650.0,,2.0
15,Berlin,620.0,65.0,2.0,Berlin,1100.0,,3.0
16,Berlin,497.0,58.0,2.0,Berlin,1500.0,,3.0
17,Berlin,972.0,81.0,3.0,Berlin,1200.0,,2.0
18,Berlin,500.0,45.0,1.0,Berlin,750.0,,
19,Berlin,492.0,69.0,,Hamburg,1200.0,,
20,Berlin,707.0,80.0,3.0,Berlin,2400.0,,4.0
21,Berlin,850.0,93.0,3.0,Berlin,1100.0,,3.0
22,Berlin,580.0,51.0,2.0,Berlin,1600.0,,3.0
23,Berlin,850.0,110.0,3.0,Berlin,700.0,,
24,Berlin,500.0,40.0,,Berlin,1100.0,,2.0
25,Berlin,740.0,75.0,3.0,Berlin,1700.0,,
26,Berlin,409.0,67.0,2.0,Berlin,1800.0,,3.0
27,Berlin,990.0,97.0,4.0,Berlin,1500.0,,3.0
28,Berlin,550.0,37.0,1.0,Berlin,1500.0,,
29,Berlin,930.0,113.0,4.0,Berlin,800.0,,
30,Berlin,1300.0,103.0,3.0,Berlin,800.0,,
31,Berlin,600.0,59.0,2.0,Berlin,1000.0,,3.0
32,Berlin,1190.0,80.0,3.0,Berlin,1800.0,,4.0
33,Berlin,1077.0,78.0,,Berlin,1600.0,,3.0
34,Berlin,500.0,55.0,2.0,Berlin,700.0,,
35,Berlin,1130.0,102.0,3.0,Berlin,1300.0,,1.0
36,Berlin,1100.0,100.0,3.0,Berlin,850.0,,2.0
37,Berlin,900.0,102.0,4.0,Berlin,3500.0,,1.0
38,Berlin,1200.0,82.0,,Berlin,800.0,,2.0
39,Berlin,1200.0,70.0,3.0,Berlin,1700.0,,3.0
40,Berlin,540.0,58.0,2.0,Berlin,1000.0,,2.0
41,Berlin,500.0,55.0,2.0,Berlin,1800.0,,
42,Berlin,1510.0,110.0,3.0,Berlin,2000.0,,2.0
43,Berlin,745.0,77.0,2.0,Berlin,1400.0,,3.0
44,Berlin,1000.0,110.0,3.0,Berlin,850.0,,2.0
45,Berlin,804.0,80.0,2.0,Berlin,1400.0,,2.0
46,Berlin,700.0,71.0,2.0,Berlin,1700.0,,
47,Berlin,750.0,53.0,2.0,Berlin,1800.0,,2.0
48,Berlin,726.0,62.0,3.0,Berlin,700.0,,2.0
49,Berlin,750.0,75.0,3.0,Berlin,1300.0,,3.0
50,Berlin,440.0,55.0,2.0,Berlin,1200.0,,3.0
51,Berlin,1685.0,130.0,,Berlin,1400.0,,
52,Berlin,850.0,90.0,4.0,Berlin,1200.0,,
53,Berlin,690.0,69.0,2.0,Berlin,2400.0,,3.0
54,Berlin,600.0,57.0,2.0,Berlin,1200.0,,3.0
55,Berlin,1590.0,104.0,4.0,Berlin,900.0,,2.0
56,Berlin,1160.0,106.0,3.0,Berlin,1000.0,,2.0
