,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
0,Berlin,2500 €,145 m²,5,Berlin,1.400 €,72 m²,2
1,Berlin,690 €,68 m²,2,Berlin,1.320 €,75 m²,3
2,Berlin,1165 €,136 m²,4,Berlin,800 €,50 m²,"1,5"
3,Berlin,840 €,100 m²,3,Berlin,500 €,40 m²,2
4,Berlin,978 €,85 m²,3,Berlin,1.500 €,110 m²,"3,5"
5,Berlin,1267 €,75 m²,3,Berlin,900 €,45 m²,"1,5"
6,Berlin,1310 €,72 m²,2,Berlin,1.000 €,40 m²,"1,5"
7,Berlin,1800 €,101 m²,"3,5",Berlin,3.700 €,90 m²,"2,5"
8,Berlin,819 €,106 m²,3,Berlin,800 €,40 m²,2
9,Berlin,2300 €,95 m²,3,Berlin,3.000 €,120 m²,4
10,Berlin,524 €,50 m²,2,Berlin,1.200 €,60 m²,"2,5"
11,Berlin,1000 €,86 m²,3,Berlin,1.200 €,80 m²,3
12,Berlin,735 €,46 m²,"1,5",Berlin,5.000 €,60 m²,3
13,Berlin,522 €,79 m²,2,Berlin,700 €,45 m²,"1,5"
14,Berlin,754 €,79 m²,3,Berlin,650 €,55 m²,2
15,Berlin,620 €,65 m²,2,Berlin,1.100 €,75 m²,3
16,Berlin,497 €,58 m²,2,Berlin,1.500 €,80 m²,3
17,Berlin,972 €,81 m²,3,Berlin,1.200 €,40 m²,2
18,Berlin,500 €,45 m²,1,Berlin,750 €,35 m²,"1,5"
19,Berlin,492 €,69 m²,"2,5",Hamburg,1.200 €,80 m²,"2,5"
20,Berlin,707 €,80 m²,3,Berlin,2.400 €,110 m²,4
21,Berlin,850 €,93 m²,3,Berlin,1.100 €,75 m²,3
22,Berlin,580 €,51 m²,2,Berlin,1.600 €,80 m²,3
23,Berlin,850 €,110 m²,3,Berlin,700 €,70 m²,"2,5"
24,Berlin,500 €,40 m²,"1,5",Berlin,1.100 €,42 m²,2
25,Berlin,740 €,75 m²,3,Berlin,1.700 €,85 m²,"3,5"
26,Berlin,409 €,67 m²,2,Berlin,1.800 €,80 m²,3
27,Berlin,990 €,97 m²,4,Berlin,1.500 €,80 m²,3
28,Berlin,550 €,37 m²,1,Berlin,1.500 €,58 m²,"1,5"
29,Berlin,930 €,113 m²,4,Berlin,800 €,68 m²,"2,5"
30,Berlin,1300 €,103 m²,3,Berlin,800 €,40 m²,"1,5"
31,Berlin,600 €,59 m²,2,Berlin,1.000 €,85 m²,3
32,Berlin,1190 €,80 m²,3,Berlin,1.800 €,90 m²,4
33,Berlin,1077 €,78 m²,"2,5",Berlin,1.600 €,95 m²,3
34,Berlin,500 €,55 m²,2,Berlin,700 €,35 m²,"1,5"
35,Berlin,1130 €,102 m²,3,Berlin,1.300 €,55 m²,1
36,Berlin,1100 €,100 m²,3,Berlin,850 €,40 m²,2
